,location,bath,price,total_sqft_float,bhk
0, Devarachikkanahalli,2.0,44.0,1250.0,5.0
1, Devarachikkanahalli,2.0,40.0,1250.0,3.0
2, Devarachikkanahalli,2.0,83.0,1200.0,2.0
3, Devarachikkanahalli,2.0,40.0,1170.0,2.0
4, Devarachikkanahalli,2.0,43.0,947.0,3.0
5, Devarachikkanahalli,2.0,36.0,1130.0,1.0
6, Devarachikkanahalli,2.0,76.0,1417.0,4.0
7, Devarachikkanahalli,2.0,58.0,1230.0,3.0
8, Devarachikkanahalli,3.0,75.0,1705.0,2.0
9, Devarachikkanahalli,2.0,47.0,1116.0,3.0
10, Devarachikkanahalli,2.0,40.0,991.0,3.0
11, Devarachikkanahalli,3.0,71.0,1700.0,2.0
12,1st Block Jayanagar,4.0,428.0,2850.0,3.0
13,1st Block Jayanagar,3.0,194.0,1630.0,3.0
14,1st Block Jayanagar,2.0,235.0,1875.0,1.0
15,1st Block Jayanagar,4.0,85.0,930.0,2.0
16,1st Block Jayanagar,2.0,130.0,1200.0,3.0
17,1st Block Jayanagar,2.0,148.0,1235.0,2.0
18,1st Block Jayanagar,4.0,368.0,2450.0,2.0
19,1st Phase JP Nagar,4.0,250.0,2825.0,3.0
20,1st Phase JP Nagar,3.0,167.0,1875.0,4.0
21,1st Phase JP Nagar,4.0,210.0,2065.0,2.0
22,1st Phase JP Nagar,3.0,225.0,2059.0,3.0
23,1st Phase JP Nagar,2.0,100.0,1394.0,5.0
24,1st Phase JP Nagar,2.0,93.0,1077.0,3.0
25,1st Phase JP Nagar,2.0,180.0,1566.0,2.0
26,1st Phase JP Nagar,2.0,50.0,840.0,2.0
27,1st Phase JP Nagar,3.0,210.0,2180.0,2.0
28,1st Phase JP Nagar,2.0,88.5,1180.0,2.0
29,1st Phase JP Nagar,2.0,85.0,1394.0,4.0
30,1st Phase JP Nagar,2.0,85.0,1205.0,2.0
31,1st Phase JP Nagar,5.0,222.0,2615.0,2.0
32,1st Phase JP Nagar,2.0,75.0,900.0,2.0
33,2nd Phase Judicial Layout,2.0,40.25,1150.0,2.0
34,2nd Phase Judicial Layout,2.0,47.25,1350.0,2.0
35,2nd Phase Judicial Layout,2.0,41.0,900.0,4.0
36,2nd Phase Judicial Layout,3.0,69.0,1681.0,3.0
